Screenshot ID,Filename,Section,Screen ID,Screen name,Route,User role,Viewport,Capture date,Prototype data type,Fidelity,Interaction status,Redaction performed,PD references,Notes
projects-pm,projects__pm.png,04 PM / Configure,projects,Projects,screens/projects.html,Project Manager,1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",SET-1 PLAT-7/11,
platform-pm,platform__pm.png,02 Prototype Map,platform,Configurable Engine,screens/platform.html,Project Manager,1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,STATIC,"None required (mock data, no PII/credentials)",PLAT-2/3/4/5,
work-types-pm,work-types__pm.png,04 PM / Configure,work-types,Work Types,screens/work-types.html,Project Manager,1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",PLAT-2 SET,
layout-pm,layout__pm.png,04 PM / Configure,layout,Layout,screens/layout.html,Project Manager,1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",SET-2,
work-item-design-pm,work-item-design__pm.png,04 PM / Configure,work-item-design,Work Item Template,screens/work-item-design.html,Project Manager,1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",DSN-1 DSN-2 DSN-3,
testing-standards-pm,testing-standards__pm.png,04 PM / Configure,testing-standards,Testing Standards,screens/testing-standards.html,Project Manager,1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",TST PDS-STD,
evidence-qa-pm,evidence-qa__pm.png,04 PM / Configure,evidence-qa,Evidence & QA Requirements,screens/evidence-qa.html,Project Manager,1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",PDS-QAR,
work-plan-pm,work-plan__pm.png,04 PM / Configure,work-plan,Work Plan,screens/work-plan.html,Project Manager,1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",PLAN-1 PLAN-2 PLAN-3 PDS-PLN,
safety-risk-controls-pm,safety-risk-controls__pm.png,04 PM / Configure,safety-risk-controls,Safety & Risk Controls,screens/safety-risk-controls.html,Project Manager,1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",SAF-1 SOS PDS-SRC,
team-publish-pm,team-publish__pm.png,04 PM / Configure,team-publish,Team & Publish,screens/team-publish.html,Project Manager,1440x900,2026-07-17,Mock/sample,MEDIUM-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",(roles/authorisation §06),
overview-pm,overview__pm.png,02 Prototype Map,overview,Overview,screens/overview.html,Project Manager,1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",PDS-OVW PMV-1..6 PLAT-7,
status-board-pm,status-board__pm.png,02 Prototype Map,status-board,Status Board,screens/status-board.html,Project Manager,1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",PDS-BRD SPM,
spatial-map-pm,spatial-map__pm.png,02 Prototype Map,spatial-map,Spatial Map,screens/spatial-map.html,Project Manager,1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",PDS-SPM SPM-1 SPM-2 SPM-3 SPM-4 SPM-5,
reference-documents-pm,reference-documents__pm.png,02 Prototype Map,reference-documents,Reference Documents,screens/reference-documents.html,Project Manager,1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",DOC-1 DOC-2 DOC-3 PDS-DOC,
field-home-field,field-home__field.png,05 Operator / Capture,field-home,Field Home,screens/field-home.html,Operator,390x844,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",(operator entry),
crew-sign-on-field,crew-sign-on__field.png,05 Operator / Capture,crew-sign-on,Crew Sign-On,screens/crew-sign-on.html,Operator,390x844,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",SOS-1 SOS-2 SOS-3 SOS-4 PDS-SON,
drill-log-field,drill-log__field.png,05 Operator / Capture,drill-log,Drill Log,screens/drill-log.html,Operator,390x844,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",DRL-1 DRL-2 DRL-3 DRL-4 DRL-5 DRL-6 PDS-DRL,
grout-log-field,grout-log__field.png,05 Operator / Capture,grout-log,Grout Log,screens/grout-log.html,Operator,390x844,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",GRT-1 GRT-3 GRT-9 PDS-GRT,
anchor-test-field,anchor-test__field.png,05 Operator / Capture,anchor-test,Anchor Test Record,screens/anchor-test.html,Operator,390x844,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",TST-1 TST-2 TST-3 TST-4 PDS-TST,
incident-field,incident__field.png,05 Operator / Capture,incident,Incident / Near-Miss,screens/incident.html,Operator,390x844,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",INC-1 INC-2 INC-3 PDS-INC,
torque-log-field,torque-log__field.png,05 Operator / Capture,torque-log,Install / Torque Log,screens/torque-log.html,Operator,390x844,2026-07-17,Mock/sample,MEDIUM-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",PIL-1 PIL-2 PIL-3 PDS-PIL,
verticality-cutoff-field,verticality-cutoff__field.png,05 Operator / Capture,verticality-cutoff,Verticality & Cut-off,screens/verticality-cutoff.html,Operator,390x844,2026-07-17,Mock/sample,MEDIUM-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",PIL PDS-PIL,
pin-install-field,pin-install__field.png,05 Operator / Capture,pin-install,Pin Install Record,screens/pin-install.html,Operator,390x844,2026-07-17,Mock/sample,MEDIUM-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",(rockfall — roadmap),
pull-test-field,pull-test__field.png,05 Operator / Capture,pull-test,Pull Test Record,screens/pull-test.html,Operator,390x844,2026-07-17,Mock/sample,MEDIUM-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",(rockfall — roadmap),
panel-install-field,panel-install__field.png,05 Operator / Capture,panel-install,Panel Install Record,screens/panel-install.html,Operator,390x844,2026-07-17,Mock/sample,MEDIUM-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",(rockfall — roadmap),
inspection-checklist-field,inspection-checklist__field.png,05 Operator / Capture,inspection-checklist,Inspection Checklist,screens/inspection-checklist.html,Operator,390x844,2026-07-17,Mock/sample,MEDIUM-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",(rockfall — roadmap),
substrate-inspection-field,substrate-inspection__field.png,05 Operator / Capture,substrate-inspection,Substrate Inspection,screens/substrate-inspection.html,Operator,390x844,2026-07-17,Mock/sample,MEDIUM-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",(shotcrete — roadmap),
application-record-field,application-record__field.png,05 Operator / Capture,application-record,Application Record,screens/application-record.html,Operator,390x844,2026-07-17,Mock/sample,MEDIUM-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",(shotcrete — roadmap),
thickness-check-field,thickness-check__field.png,05 Operator / Capture,thickness-check,Thickness Check,screens/thickness-check.html,Operator,390x844,2026-07-17,Mock/sample,MEDIUM-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",(shotcrete — roadmap),
borehole-log-field,borehole-log__field.png,05 Operator / Capture,borehole-log,Borehole Log,screens/borehole-log.html,Operator,390x844,2026-07-17,Mock/sample,MEDIUM-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",(drilling — roadmap),
core-photos-field,core-photos__field.png,05 Operator / Capture,core-photos,Core Photos,screens/core-photos.html,Operator,390x844,2026-07-17,Mock/sample,MEDIUM-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",(drilling — roadmap),
sample-register-field,sample-register__field.png,05 Operator / Capture,sample-register,Sample Register,screens/sample-register.html,Operator,390x844,2026-07-17,Mock/sample,MEDIUM-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",(drilling — roadmap),
pipe-install-field,pipe-install__field.png,05 Operator / Capture,pipe-install,Pipe Install,screens/pipe-install.html,Operator,390x844,2026-07-17,Mock/sample,MEDIUM-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",(drainage — roadmap),
