Screenshot ID,Walkthrough section,Screen ID,Screen name,Route,User role,Viewport,Prototype state required,PD references,Fidelity,Interaction,Capture status,Notes
projects-pm,04 PM / Configure,projects,Projects,screens/projects.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),SET-1 PLAT-7/11,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
platform-pm,02 Prototype Map,platform,Configurable Engine,screens/platform.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),PLAT-2/3/4/5,HIGH-FIDELITY,STATIC,CAPTURED,Full-page capture
work-types-pm,04 PM / Configure,work-types,Work Types,screens/work-types.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),PLAT-2 SET,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
layout-pm,04 PM / Configure,layout,Layout,screens/layout.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),SET-2,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
work-item-design-pm,04 PM / Configure,work-item-design,Work Item Template,screens/work-item-design.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),DSN-1 DSN-2 DSN-3,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
testing-standards-pm,04 PM / Configure,testing-standards,Testing Standards,screens/testing-standards.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),TST PDS-STD,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
evidence-qa-pm,04 PM / Configure,evidence-qa,Evidence & QA Requirements,screens/evidence-qa.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),PDS-QAR,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
work-plan-pm,04 PM / Configure,work-plan,Work Plan,screens/work-plan.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),PLAN-1 PLAN-2 PLAN-3 PDS-PLN,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
safety-risk-controls-pm,04 PM / Configure,safety-risk-controls,Safety & Risk Controls,screens/safety-risk-controls.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),SAF-1 SOS PDS-SRC,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
team-publish-pm,04 PM / Configure,team-publish,Team & Publish,screens/team-publish.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),(roles/authorisation §06),MEDIUM-FIDELITY,SIMULATED,CAPTURED,Full-page capture
overview-pm,02 Prototype Map,overview,Overview,screens/overview.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),PDS-OVW PMV-1..6 PLAT-7,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
status-board-pm,02 Prototype Map,status-board,Status Board,screens/status-board.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),PDS-BRD SPM,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
spatial-map-pm,02 Prototype Map,spatial-map,Spatial Map,screens/spatial-map.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),PDS-SPM SPM-1 SPM-2 SPM-3 SPM-4 SPM-5,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
reference-documents-pm,02 Prototype Map,reference-documents,Reference Documents,screens/reference-documents.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),DOC-1 DOC-2 DOC-3 PDS-DOC,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
field-home-field,05 Operator / Capture,field-home,Field Home,screens/field-home.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),(operator entry),HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
crew-sign-on-field,05 Operator / Capture,crew-sign-on,Crew Sign-On,screens/crew-sign-on.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),SOS-1 SOS-2 SOS-3 SOS-4 PDS-SON,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
drill-log-field,05 Operator / Capture,drill-log,Drill Log,screens/drill-log.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),DRL-1 DRL-2 DRL-3 DRL-4 DRL-5 DRL-6 PDS-DRL,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
grout-log-field,05 Operator / Capture,grout-log,Grout Log,screens/grout-log.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),GRT-1 GRT-3 GRT-9 PDS-GRT,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
anchor-test-field,05 Operator / Capture,anchor-test,Anchor Test Record,screens/anchor-test.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),TST-1 TST-2 TST-3 TST-4 PDS-TST,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
incident-field,05 Operator / Capture,incident,Incident / Near-Miss,screens/incident.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),INC-1 INC-2 INC-3 PDS-INC,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
torque-log-field,05 Operator / Capture,torque-log,Install / Torque Log,screens/torque-log.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),PIL-1 PIL-2 PIL-3 PDS-PIL,MEDIUM-FIDELITY,SIMULATED,CAPTURED,Full-page capture
verticality-cutoff-field,05 Operator / Capture,verticality-cutoff,Verticality & Cut-off,screens/verticality-cutoff.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),PIL PDS-PIL,MEDIUM-FIDELITY,SIMULATED,CAPTURED,Full-page capture
pin-install-field,05 Operator / Capture,pin-install,Pin Install Record,screens/pin-install.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),(rockfall — roadmap),MEDIUM-FIDELITY,SIMULATED,CAPTURED,Full-page capture
pull-test-field,05 Operator / Capture,pull-test,Pull Test Record,screens/pull-test.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),(rockfall — roadmap),MEDIUM-FIDELITY,SIMULATED,CAPTURED,Full-page capture
panel-install-field,05 Operator / Capture,panel-install,Panel Install Record,screens/panel-install.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),(rockfall — roadmap),MEDIUM-FIDELITY,SIMULATED,CAPTURED,Full-page capture
inspection-checklist-field,05 Operator / Capture,inspection-checklist,Inspection Checklist,screens/inspection-checklist.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),(rockfall — roadmap),MEDIUM-FIDELITY,SIMULATED,CAPTURED,Full-page capture
substrate-inspection-field,05 Operator / Capture,substrate-inspection,Substrate Inspection,screens/substrate-inspection.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),(shotcrete — roadmap),MEDIUM-FIDELITY,SIMULATED,CAPTURED,Full-page capture
application-record-field,05 Operator / Capture,application-record,Application Record,screens/application-record.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),(shotcrete — roadmap),MEDIUM-FIDELITY,SIMULATED,CAPTURED,Full-page capture
thickness-check-field,05 Operator / Capture,thickness-check,Thickness Check,screens/thickness-check.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),(shotcrete — roadmap),MEDIUM-FIDELITY,SIMULATED,CAPTURED,Full-page capture
borehole-log-field,05 Operator / Capture,borehole-log,Borehole Log,screens/borehole-log.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),(drilling — roadmap),MEDIUM-FIDELITY,SIMULATED,CAPTURED,Full-page capture
core-photos-field,05 Operator / Capture,core-photos,Core Photos,screens/core-photos.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),(drilling — roadmap),MEDIUM-FIDELITY,SIMULATED,CAPTURED,Full-page capture
sample-register-field,05 Operator / Capture,sample-register,Sample Register,screens/sample-register.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),(drilling — roadmap),MEDIUM-FIDELITY,SIMULATED,CAPTURED,Full-page capture
