Screen ID,Screen name,Route,User role,Surface,Spine stage,Fidelity,Interaction status,Active/dormant/superseded,Source file,Related PD IDs,Screenshot,Known limitations,Notes
projects,Projects,screens/projects.html,Project Manager,Office / desktop,Configure,HIGH-FIDELITY,SIMULATED,active,prototype/screens/projects.html,SET-1 PLAT-7/11,screenshots/projects__pm.png,Project list + create is illustrative; no persistence.,"Create projects, clients and engineers."
platform,Configurable Engine,screens/platform.html,Project Manager,Office / desktop,Platform,HIGH-FIDELITY,STATIC,active,prototype/screens/platform.html,PLAT-2/3/4/5,screenshots/platform__pm.png,"Explainer surface, not an editable config screen.","One core workflow, multiple work types."
work-types,Work Types,screens/work-types.html,Project Manager,Office / desktop,Configure,HIGH-FIDELITY,SIMULATED,active,prototype/screens/work-types.html,PLAT-2 SET,screenshots/work-types__pm.png,Selecting a type re-renders a preview; no saved state.,Choose the work types this project runs.
layout,Layout,screens/layout.html,Project Manager,Office / desktop,Configure,HIGH-FIDELITY,SIMULATED,active,prototype/screens/layout.html,SET-2,screenshots/layout__pm.png,Zones/areas editing is simulated.,Define zones and locations.
work-item-design,Work Item Template,screens/work-item-design.html,Project Manager,Office / desktop,Configure,HIGH-FIDELITY,SIMULATED,active,prototype/screens/work-item-design.html,DSN-1 DSN-2 DSN-3,screenshots/work-item-design__pm.png,Template builder is illustrative; specs not persisted.,Set reusable work item templates.
testing-standards,Testing Standards,screens/testing-standards.html,Project Manager,Office / desktop,Configure,HIGH-FIDELITY,SIMULATED,active,prototype/screens/testing-standards.html,TST PDS-STD,screenshots/testing-standards__pm.png,"Acceptance criteria shown, not enforced.",Set acceptance criteria once.
evidence-qa,Evidence & QA Requirements,screens/evidence-qa.html,Project Manager,Office / desktop,Configure,HIGH-FIDELITY,SIMULATED,active,prototype/screens/evidence-qa.html,PDS-QAR,screenshots/evidence-qa__pm.png,Evidence rules shown; not wired to the QA gate.,Define what makes a record confirmable.
work-plan,Work Plan,screens/work-plan.html,Project Manager,Office / desktop,Configure,HIGH-FIDELITY,SIMULATED,active,prototype/screens/work-plan.html,PLAN-1 PLAN-2 PLAN-3 PDS-PLN,screenshots/work-plan__pm.png,Placement/commit is simulated; AI plan-import conceptual.,Place and commit the work items.
safety-risk-controls,Safety & Risk Controls,screens/safety-risk-controls.html,Project Manager,Office / desktop,Configure,HIGH-FIDELITY,SIMULATED,active,prototype/screens/safety-risk-controls.html,SAF-1 SOS PDS-SRC,screenshots/safety-risk-controls__pm.png,JSA/SWMS gating shown; upload is illustrative.,Gate field sign-on with JSA and SWMS.
team-publish,Team & Publish,screens/team-publish.html,Project Manager,Office / desktop,Configure,MEDIUM-FIDELITY,SIMULATED,active,prototype/screens/team-publish.html,(roles/authorisation §06),screenshots/team-publish__pm.png,Roles table + publish-to-field; not in a numbered PDS.,Assign roles and publish to the field.
overview,Overview,screens/overview.html,Project Manager,Office / desktop,Capture,HIGH-FIDELITY,SIMULATED,active,prototype/screens/overview.html,PDS-OVW PMV-1..6 PLAT-7,screenshots/overview__pm.png,Alerts/pulse are mock rollups.,What needs the PM's attention.
status-board,Status Board,screens/status-board.html,Project Manager,Office / desktop,Capture,HIGH-FIDELITY,SIMULATED,active,prototype/screens/status-board.html,PDS-BRD SPM,screenshots/status-board__pm.png,Zone grid renders mock state; filtering simulated.,Project status at a glance.
spatial-map,Spatial Map,screens/spatial-map.html,Project Manager,Office / desktop,Capture,HIGH-FIDELITY,SIMULATED,active,prototype/screens/spatial-map.html,PDS-SPM SPM-1 SPM-2 SPM-3 SPM-4 SPM-5,screenshots/spatial-map__pm.png,Pins on an uploaded image; positions are mock.,Every anchor on the site.
reference-documents,Reference Documents,screens/reference-documents.html,Project Manager,Office / desktop,Capture,HIGH-FIDELITY,SIMULATED,active,prototype/screens/reference-documents.html,DOC-1 DOC-2 DOC-3 PDS-DOC,screenshots/reference-documents__pm.png,Offline library shown; upload/offline is illustrative.,Approved project library.
field-home,Field Home,screens/field-home.html,Operator,Field / mobile,Capture,HIGH-FIDELITY,SIMULATED,active,prototype/screens/field-home.html,(operator entry),screenshots/field-home__field.png,Operator day view; sign-on gate simulated.,The operator’s day at a glance.
crew-sign-on,Crew Sign-On,screens/crew-sign-on.html,Operator,Field / mobile,Capture,HIGH-FIDELITY,SIMULATED,active,prototype/screens/crew-sign-on.html,SOS-1 SOS-2 SOS-3 SOS-4 PDS-SON,screenshots/crew-sign-on__field.png,Individual sign-on gate; attribution simulated.,Individual sign-on and clearance.
drill-log,Drill Log,screens/drill-log.html,Operator,Field / mobile,Capture,HIGH-FIDELITY,SIMULATED,active,prototype/screens/drill-log.html,DRL-1 DRL-2 DRL-3 DRL-4 DRL-5 DRL-6 PDS-DRL,screenshots/drill-log__field.png,Anchoring drill capture; save/submit simulated.,Capture the actual drilling record.
