Route,Screen,Element,Interactive or static,Previous treatment,Updated treatment,Shared token/component,Mobile checked,Desktop checked,Accessibility checked,Notes
drill-log.html,Operator Drill Capture,+1.0 m increment (default step),Interactive,Flat green fill,Primary pillow (deep-green front-facing lift),--ctl-primary-*/.qc.on,Yes,n/a,Yes,Default operational control; near-white label
drill-log.html,Operator Drill Capture,+0.1 m / Undo,Interactive,Flat white bordered,Resting-light pillow + pressed inset,--ctl-surface/--ctl-shadow/.qc,Yes,n/a,Yes,48px+ targets
drill-log.html,Operator Drill Capture,Lithology chips (Fill/Clay/…),Interactive,Pale tint/ochre/sage washes,Uniform warm pillow; selected=deep-green fill,--ctl-*/.lq,Yes,n/a,Yes,Fill-vs-outline is greyscale-safe selected cue
drill-log.html,Operator Drill Capture,View details,Interactive,Flat bordered pill,Resting-light pillow (pill kept — compact),--ctl-*/.vad,Yes,n/a,Yes,Compact control
drill-log.html,Operator Drill Capture,Submit dock (Complete/Submit),Interactive,Flat green / muted grey-green,Primary pillow; not-ready=disabled grammar,--ctl-primary-*/--ctl-disabled-*/.btn.subqa,Yes,n/a,Yes,Substantial planted lift; flatter than small controls
drill-log.html,Operator Drill Capture,Sheet: material / photo / use-current,Interactive,Flat bordered,Resting-light / selected pillow,--ctl-*/.mopt/.pbtn/.ucd,Yes,n/a,Yes,In record-change bottom sheet
drill-log.html,Operator Drill Capture,Current-depth hero + value,Static,Flat white panel,Unchanged (flat),--structural (implicit),Yes,n/a,Yes,Key value; hierarchy tier 1
drill-log.html,Operator Drill Capture,Progress bar,Static,Flat,Unchanged (flat),—,Yes,n/a,Yes,Data
drill-log.html,Operator Drill Capture,Design read-only panel,Static,Flat card,Unchanged (flat),—,Yes,n/a,Yes,Read-only design info
drill-log.html,Operator Drill Capture,Lithology log / empty states,Static,Flat / dashed,Unchanged (flat),—,Yes,n/a,Yes,Information
drill-log.html,Operator Drill Capture,Focus ring,Interactive,Olive 2.5px outline,Forest 2.5px outline outside border,--focus-ring-color,Yes,n/a,Yes,Higher contrast
grout-log.html,Operator Grout Capture,+1 bag (default step),Interactive,Flat green fill,Primary pillow,--ctl-primary-*/.qc.on,Yes,n/a,Yes,Default operational control
grout-log.html,Operator Grout Capture,+0.5 bag / Undo / Edit bags,Interactive,Flat white bordered,Resting-light pillow + pressed inset,--ctl-*/.qc,Yes,n/a,Yes,
grout-log.html,Operator Grout Capture,View anchor details,Interactive,Flat bordered pill,Resting-light pillow (pill kept),--ctl-*/.vad,Yes,n/a,Yes,
grout-log.html,Operator Grout Capture,Submit grout stage,Interactive,Flat green / muted,Primary pillow; not-ready=disabled grammar,--ctl-primary-*/--ctl-disabled-*,Yes,n/a,Yes,
grout-log.html,Operator Grout Capture,Bags-used / usage / allowance panel,Static,Flat,Unchanged (flat),—,Yes,n/a,Yes,Within-allowance badge stays flat
grout-log.html,Operator Grout Capture,Injection-pressure / grout-stage / Design panels,Static,Flat,Unchanged (flat),—,Yes,n/a,Yes,
work-types.html,Configurable Engine (Work Types),Six work-type cards,Interactive,Flat card + directional shadow + hover lift,Resting-light pillow; selected=sage-tint + inset edge + check,--ctl-*/.wt-card,Yes,Yes,Yes,Selectable option cards; directional shadow removed
